Unnamed: 0,player_id,match_date,notout,runs,balls,fours,sixes,wickets,deliveries,maidens,runs_conceded,catches,stumps,runouts,points,Average Form,Consistency,Average,Strike Rate,Total Runs,Last Bat Innings,Bowling_Consistency,Recent_Bowling_Avg,Recent_Eco,Career_Bowling_Avg,Career_Wickets,Career_Eco,Last_Bowl_Innings,dreamTeam
Imran Tahir,3850,23-03-2019,0,0,0,0,0,3,24,1,9,0,0,0,91,0.0,1.0,5.0,74.07,20,0,0.6,20.928571428571427,7.990909090909091,22.26,53,8.43,1,1
Harbhajan Singh,2138,23-03-2019,0,0,0,0,0,3,24,0,20,1,0,0,89,10.5,0.0,15.92,138.69,828,2,0.4,40.83333333,8.80239521,27.4,134,7.08,4,1
RA Jadeja,3644,23-03-2019,1,6,15,0,0,2,24,1,15,2,0,0,82,24.0,0.6,23.73,121.96,1827,0,0.6,24.1,7.303030303,30.2,93,7.76,1,1
MM Ali,4271,23-03-2019,0,9,8,0,1,1,24,0,19,0,0,0,44,17.2,0.2,17.2,159.26,86,2,0.6,32.33333333,7.367088608,32.33,3,7.37,2,1
DJ Bravo,3166,23-03-2019,0,0,0,0,0,1,1,1,0,0,0,0,41,11.5,0.5,23.78,128.72,1403,2,0.3,41.875,10.0,24.18,136,8.44,1,1
YS Chahal,4063,23-03-2019,0,4,12,0,0,1,24,1,6,0,0,0,39,4.0,0.5,4.75,43.18,19,1,0.9,26.88888889,6.722222222,23.56,82,7.77,0,1
Mohammed Siraj,4675,23-03-2019,1,0,1,0,0,1,12,1,5,0,0,0,39,8.5,0.5,12.5,108.7,25,0,0.3,30.27272727,9.0,27.57,21,9.05,2,1
PA Patel,3035,23-03-2019,0,29,35,2,0,0,0,0,0,0,0,0,35,28.0,0.7,22.16,117.84,2504,0,0.0,0.0,0.0,0.0,0,0.0,0,1
AT Rayudu,4069,23-03-2019,0,28,42,2,1,0,0,0,0,0,0,0,34,37.625,0.7,29.29,129.12,3046,0,0.0,0.0,0.0,0.0,0,0.0,0,1
SK Raina,3287,23-03-2019,0,19,21,3,0,0,6,0,6,0,0,0,26,28.88888889,0.6,34.27,138.19,5004,1,0.4,195.0,8.47826087,45.56,25,7.43,2,1
KM Jadhav,4033,23-03-2019,1,13,19,1,0,0,0,0,0,1,0,0,24,25.14285714,0.5,24.47,132.29,930,0,0.0,0.0,0.0,0.0,0,0.0,0,1
SR Watson,3017,23-03-2019,0,0,10,0,0,0,0,0,0,2,0,0,18,40.44444444,0.5,32.09,140.58,3177,1,0.4,55.5,9.25,29.15,92,7.93,0,0
S Dube,4945,23-03-2019,0,2,5,0,0,0,4,0,3,1,0,0,18,2.0,0.0,2.0,40.0,2,1,0.0,0.0,0.0,0.0,0,0.0,0,0
AB de Villiers,3241,23-03-2019,0,9,10,0,0,0,0,0,0,0,0,0,13,52.57142857,0.555555556,39.23,150.7,3962,1,0.0,0.0,0.0,0.0,0,0.0,0,0
MS Dhoni,3243,23-03-2019,0,0,0,0,0,0,0,0,0,1,0,0,12,110.0,0.75,40.16,138.2,4016,1,0.0,0.0,0.0,0.0,0,0.0,0,0
C de Grandhomme,3936,23-03-2019,0,4,6,1,0,0,0,0,0,0,0,0,9,22.5,0.666666667,18.64,143.41,261,2,0.2,98.0,8.909090909,46.33,6,8.69,2,0
UT Yadav,3786,23-03-2019,0,1,10,0,0,0,18,0,13,0,0,0,9,0.75,0.2,8.17,88.29,98,3,0.7,21.0,7.34529148,27.96,109,8.33,0,0
DL Chahar,4557,23-03-2019,0,0,0,0,0,0,24,0,17,0,0,0,8,25.0,1.0,16.0,182.86,64,0,0.7,27.33333333,7.2,35.73,11,7.83,0,0
V Kohli,3600,23-03-2019,0,6,12,0,0,0,0,0,0,0,0,0,6,38.125,0.5,38.11,130.51,4954,3,0.3,143.0,10.3373494,92.0,4,8.8,1,0
Navdeep Saini,4656,23-03-2019,0,2,3,0,0,0,24,0,24,0,0,0,6,2.0,0.0,2.0,66.67,2,1,0.0,0.0,0.0,0.0,0,0.0,0,0
SN Thakur,4393,23-03-2019,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1.0,7.33,157.14,22,0,0.4,31.18181818,9.354545455,28.0,28,8.93,2,0
SO Hetmyer,4681,23-03-2019,0,0,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0
Imran Tahir,3850,23-03-2019,0,0,0,0,0,3,24,1,9,0,0,0,91,0.0,1.0,5.0,74.07,20,0,0.6,20.92857143,7.990909091,22.26,53,8.43,1,1
Harbhajan Singh,2138,23-03-2019,0,0,0,0,0,3,24,0,20,1,0,0,89,10.5,0.0,15.92,138.69,828,2,0.4,40.83333333,8.80239521,27.4,134,7.08,4,1
RA Jadeja,3644,23-03-2019,1,6,15,0,0,2,24,1,15,2,0,0,82,24.0,0.6,23.73,121.96,1827,0,0.6,24.1,7.303030303,30.2,93,7.76,1,1
MM Ali,4271,23-03-2019,0,9,8,0,1,1,24,0,19,0,0,0,44,17.2,0.2,17.2,159.26,86,2,0.6,32.33333333,7.367088608,32.33,3,7.37,2,1
DJ Bravo,3166,23-03-2019,0,0,0,0,0,1,1,1,0,0,0,0,41,11.5,0.5,23.78,128.72,1403,2,0.3,41.875,10.0,24.18,136,8.44,1,1
YS Chahal,4063,23-03-2019,0,4,12,0,0,1,24,1,6,0,0,0,39,4.0,0.5,4.75,43.18,19,1,0.9,26.88888889,6.722222222,23.56,82,7.77,0,1
Mohammed Siraj,4675,23-03-2019,1,0,1,0,0,1,12,1,5,0,0,0,39,8.5,0.5,12.5,108.7,25,0,0.3,30.27272727,9.0,27.57,21,9.05,2,1
PA Patel,3035,23-03-2019,0,29,35,2,0,0,0,0,0,0,0,0,35,28.0,0.7,22.16,117.84,2504,0,0.0,0.0,0.0,0.0,0,0.0,0,1
AT Rayudu,4069,23-03-2019,0,28,42,2,1,0,0,0,0,0,0,0,34,37.625,0.7,29.29,129.12,3046,0,0.0,0.0,0.0,0.0,0,0.0,0,1
SK Raina,3287,23-03-2019,0,19,21,3,0,0,6,0,6,0,0,0,26,28.88888889,0.6,34.27,138.19,5004,1,0.4,195.0,8.47826087,45.56,25,7.43,2,1
KM Jadhav,4033,23-03-2019,1,13,19,1,0,0,0,0,0,1,0,0,24,25.14285714,0.5,24.47,132.29,930,0,0.0,0.0,0.0,0.0,0,0.0,0,1
SR Watson,3017,23-03-2019,0,0,10,0,0,0,0,0,0,2,0,0,18,40.44444444,0.5,32.09,140.58,3177,1,0.4,55.5,9.25,29.15,92,7.93,0,0
S Dube,4945,23-03-2019,0,2,5,0,0,0,4,0,3,1,0,0,18,2.0,0.0,2.0,40.0,2,1,0.0,0.0,0.0,0.0,0,0.0,0,0
AB de Villiers,3241,23-03-2019,0,9,10,0,0,0,0,0,0,0,0,0,13,52.57142857,0.555555556,39.23,150.7,3962,1,0.0,0.0,0.0,0.0,0,0.0,0,0
MS Dhoni,3243,23-03-2019,0,0,0,0,0,0,0,0,0,1,0,0,12,110.0,0.75,40.16,138.2,4016,1,0.0,0.0,0.0,0.0,0,0.0,0,0
C de Grandhomme,3936,23-03-2019,0,4,6,1,0,0,0,0,0,0,0,0,9,22.5,0.666666667,18.64,143.41,261,2,0.2,98.0,8.909090909,46.33,6,8.69,2,0
UT Yadav,3786,23-03-2019,0,1,10,0,0,0,18,0,13,0,0,0,9,0.75,0.2,8.17,88.29,98,3,0.7,21.0,7.34529148,27.96,109,8.33,0,0
DL Chahar,4557,23-03-2019,0,0,0,0,0,0,24,0,17,0,0,0,8,25.0,1.0,16.0,182.86,64,0,0.7,27.33333333,7.2,35.73,11,7.83,0,0
V Kohli,3600,23-03-2019,0,6,12,0,0,0,0,0,0,0,0,0,6,38.125,0.5,38.11,130.51,4954,3,0.3,143.0,10.3373494,92.0,4,8.8,1,0
Navdeep Saini,4656,23-03-2019,0,2,3,0,0,0,24,0,24,0,0,0,6,2.0,0.0,2.0,66.67,2,1,0.0,0.0,0.0,0.0,0,0.0,0,0
SN Thakur,4393,23-03-2019,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1.0,7.33,157.14,22,0,0.4,31.18181818,9.354545455,28.0,28,8.93,2,0
SO Hetmyer,4681,23-03-2019,0,0,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0
AD Russell,3836,24-03-2019,1,49,19,4,4,2,18,0,32,0,0,0,115,26.33333333,0.444444444,28.45,180.23,939,0,0.3,17.91666667,8.6,28.43,44,8.75,1,1
DA Warner,3637,24-03-2019,0,85,53,9,3,0,0,0,0,0,0,0,112,54.55555556,0.8,40.99,142.47,4099,0,0.0,0.0,0.0,0.0,0,0.0,0,1
N Rana,4400,24-03-2019,0,68,47,8,3,0,6,0,9,0,0,0,94,23.0,0.7,28.89,130.91,809,0,0.666666667,11.75,6.558139535,11.75,4,6.56,0,1
RV Uthappa,3355,24-03-2019,0,35,27,3,1,0,0,0,0,1,0,0,52,22.3,0.5,28.72,131.69,4164,0,0.0,0.0,0.0,0.0,0,0.0,0,1
V Shankar,4027,24-03-2019,1,40,24,2,2,0,0,0,0,0,0,0,50,234.0,1.0,58.83,142.91,353,0,0.0,77.0,12.83333333,77.0,1,12.83,5,1
JM Bairstow,3900,24-03-2019,0,39,35,3,1,0,0,0,0,0,0,0,48,39.0,1.0,39.0,111.43,39,0,0.0,0.0,0.0,0.0,0,0.0,0,1
Rashid Khan,4484,24-03-2019,0,0,0,0,0,1,24,0,26,1,0,0,37,17.5,0.333333333,10.0,175.0,70,0,0.9,21.41666667,6.425,21.47,38,6.69,0,1
PP Chawla,3351,24-03-2019,0,0,0,0,0,1,18,0,23,0,0,0,29,8.333333333,0.4,11.78,111.29,542,1,0.4,30.88888889,8.967741935,26.24,140,7.71,0,1
Shakib Al Hasan,3426,24-03-2019,0,0,0,0,0,1,22,0,42,0,0,0,29,23.2,0.666666667,21.68,127.29,737,0,0.4,47.33333333,8.606060606,27.32,57,7.4,1,1
Sandeep Sharma,4048,24-03-2019,0,0,0,0,0,1,24,0,42,0,0,0,29,0.0,0.0,8.67,66.67,26,1,0.4,33.22222222,8.081081081,23.13,83,7.74,5,1
S Kaul,4034,24-03-2019,0,0,0,0,0,1,24,0,35,0,0,0,29,1.0,0.5,4.0,44.44,12,0,0.5,29.16666667,9.210526316,26.58,43,8.37,1,1
