player_name,player_id
S A Abbott,4331
A C Agar,4224
G J Bailey,3929
C T Bancroft,4521
J P Behrendorff,4705
T R Birt,3757
S M Boland,4511
D E Bollinger,3631
C J Boyce,4330
N W Bracken,2640
A T Carey,4726
D T Christian,3766
S R Clark,3326
M J Clarke,3067
N M Coulter-Nile,4001
P J Cummins,3909
B C J Cutting,3995
T H David,5332
X J Doherty,3834
B R Dunk,4337
B J Dwarshuis,4763
N Ellis,6082
J P Faulkner,3930
Fawad Ahmed,4233
C J Ferguson,3643
A J Finch,3845
B Geeves,3615
A C Gilchrist,2192
J N Gillespie,2082
C Green,5926
C J Green,5853
B J Haddin,2707
P S P Handscomb,4558
A M Hardie,7448
R J Harris,3638
S M Harwood,3662
J W Hastings,3831
N M Hauritz,3016
M L Hayden,1976
J R Hazlewood,3799
T M Head,4386
M C Henriques,3680
B W Hilfenhaus,3455
B J Hodge,3330
G B Hogg,2068
J R Hopes,3273
P J Hughes,3647
D J Hussey,3595
M E K Hussey,3160
J P Inglis,6471
M G Johnson,3334
S H Johnson,7449
M S Kasprowicz,2076
S M Katich,2743
U T Khawaja,3842
M Klinger,4202
M Labuschagne,4816
B Laughlin,3657
B Lee,2205
M L Lewis,3333
C A Lynn,4108
N M Lyon,3885
N J Maddinson,4244
M R Marsh,3912
S E Marsh,3561
D R Martyn,1098
G J Maxwell,3969
B R McDermott,4824
G D McGrath,1133
C J McKay,3735
R P Meredith,5949
J M Muirhead,4256
D P Nannes,3697
P M Nevill,4458
A A Noffke,3531
M J North,3648
S N J O'Keefe,3811
T D Paine,3725
J L Pattinson,3854
J R Philippe,5860
L A Pommersbach,3691
R T Ponting,2041
N J Reardon,4338
J A Richardson,4650
K W Richardson,3996
B J Rohrer,4000
D R Sams,5847
T Sangha,7450
D J M Short,4729
M W Short,7203
P M Siddle,3618
S P D Smith,3756
B Stanlake,4626
M A Starc,3830
M P Stoinis,4389
M J Swepson,4796
A Symonds,2907
S W Tait,3319
A J Turner,4648
A J Tye,4383
A C Voges,3463
M S Wade,3910
D A Warner,3637
S R Watson,3017
C L White,3325
J D Wildermuth,4799
A Zampa,4527
Abdur Razzak,3180
Abu Hider,4515
Abu Jayed,4738
Abul Hasan,3965
Afif Hossain,4734
Aftab Ahmed,3224
Al-Amin Hossain,4247
Alok Kapali,3031
Aminul Islam,5478
